ID	Lat	Lon
166	47.68139836	-122.36326559999999
173	47.677913700000005	-122.34783940000001
182	47.67761544	-122.31510120000002
184	47.67760975	-122.3092892
189	47.68122939	-122.29313400000001
191	47.68126686	-122.2883
54	47.70913256	-122.28823590000002
68	47.69858164	-122.31963770000002
69	47.70589419	-122.3261325
70	47.69926878	-122.32610290000001
85	47.69576076	-122.3902436
86	47.69478263	-122.38218379999999
87	47.69308964	-122.3745952
101	47.69386532	-122.2924585
102	47.69348267	-122.28792109999999
103	47.69217273	-122.2758213
118	47.68802357	-122.3097315
119	47.68485973	-122.3094261
120	47.68766744	-122.3147898
121	47.68468613	-122.31370679999999
135	47.6889821	-122.35766090000001
136	47.68514036	-122.35742040000001
137	47.68910143	-122.3632955
138	47.68510649	-122.3633179
151	47.68845189	-122.399651
152	47.68006558	-122.4058446
153	47.68119642	-122.39724369999999
262	47.66675843	-122.3636324
263	47.6632395	-122.36349609999999
277	47.66690473	-122.3242365
278	47.66296320000001	-122.32559029999999
280	47.66279637	-122.3191047
293	47.66283141	-122.28841570000002
294	47.66546034	-122.28389969999999
295	47.66642459	-122.27760009999999
296	47.66304817	-122.2819125
297	47.65980651	-122.2713743
311	47.65912347	-122.33233059999999
312	47.6529826	-122.33240900000001
313	47.65886415	-122.3397236
327	47.65249768	-122.35720559999999
328	47.65924124	-122.36284029999999
344	47.65055014	-122.3972784
345	47.6496366	-122.4054509
346	47.64884562	-122.41351340000001
347	47.64075003	-122.4117956
360	47.64868972	-122.32450039999999
361	47.64881269	-122.32033829999999
362	47.64210543	-122.32763259999999
155	47.67768283	-122.3956725
168	47.68142928	-122.3571665
169	47.6776932	-122.3570821
170	47.68144496	-122.35363829999999
185	47.68122714	-122.30369509999998
186	47.67683247	-122.3037138
201	47.67362628	-122.26138970000001
202	47.66902223	-122.26579440000002
204	47.67389477	-122.275517
218	47.67396062	-122.31534189999999
219	47.66992547	-122.3142929
220	47.67437441	-122.31852009999999
221	47.67060473	-122.31924340000002
235	47.67449353	-122.3635124
237	47.6741798	-122.3687399
252	47.66726929	-122.39524080000001
253	47.66787724	-122.3899841
254	47.66724956	-122.384005
198	47.67757173	-122.2715882
200	47.67746707	-122.2655304
207	47.66985256	-122.2825129
209	47.67032719	-122.2875293
214	47.67407506	-122.303472
223	47.67051761	-122.324146
232	47.66820818	-122.3522176
234	47.67051335	-122.3569091
239	47.67418318	-122.37502279999998
241	47.67420161	-122.37861509999999
248	47.66978489	-122.39567509999999
250	47.66970443	-122.40064009999999
257	47.66336676	-122.3791334
259	47.66252888	-122.37349760000001
264	47.66695932	-122.35770819999999
